GNB,LR,PAC,Pct,RC,SGDC,LSVC,SVC,KNC,MLPC,DTC,ABC,BC,ETC,GBC,RFC,HGBC,XGBC,LGBMC,CBC
0.20180217273592638,0.44016034636958745,0.43296707769500126,0.46804174686068395,0.42517044127822656,0.44568630726871,0.4276798855673333,0.7440447905880436,0.8244415429156497,0.8020566850515423,0.7416825620586392,0.7799006687209944,0.8018846679844592,0.8318697532968089,0.8032752478294488,0.832591100615969,0.8229709689877561,0.8123616064934954,0.8237931980497861,0.8283098365274704
0.13367812544990562,0.437255964164943,0.4533152081702618,0.4467915601476513,0.42641266230103314,0.4903302378992894,0.4289011405805927,0.754235814726732,0.8103485822309358,0.8142382879805348,0.7474862842032592,0.7801804575992267,0.8027510606573935,0.8318697532968089,0.8040654067986032,0.8326890290893542,0.8229709689877561,0.8123616064934954,0.819811135967942,0.8283098365274704
0.33384510380889776,0.538848929257944,0.4737284526674827,0.5105528563206881,0.49025461830218037,0.520940746884143,0.5180054336164069,0.7219418712105244,0.706368245281497,0.730014926306095,0.643907407788991,0.65950316186554,0.7446787267542099,0.7680497788219314,0.8156525618488091,0.7794174036433937,0.8125698653488918,0.8250630847808841,0.8160875329745747,0.8214577784877342
0.3339348555562738,0.7043676548434018,0.6726931363834133,0.6628471755299241,0.6681623048476979,0.6871986269761313,0.7159606704845306,0.7848221531131784,0.8084056942094355,0.8110553070120946,0.7014715238667891,0.7131899162919522,0.78804488042145,0.8206302621465997,0.8291327931667938,0.8256994133520092,0.8356350525208424,0.8458302479812086,0.8352710896653991,0.8388261978270274
0.357153087453448,0.549711643564669,0.4774130949339679,0.508731153071936,0.5022686768172759,0.4940807997904449,0.5376685636582595,0.6967225343757623,0.6776804111329842,0.7120099988550148,0.6522570691919665,0.655711677016069,0.7409068486208801,0.7651270132647289,0.8120854409176445,0.773287856004738,0.8206996225092819,0.8275683061200771,0.812490831246174,0.8191263559089145
0.17950966731746312,0.699030783831005,0.6609990559735303,0.6509120497730777,0.6708561951585731,0.7039511208789909,0.7195458623171176,0.7342842038609434,0.7360029625671363,0.8076732622409954,0.7044730910010456,0.7029354215905282,0.7872369859252815,0.8233458161269124,0.8268103486800843,0.8227235494972875,0.8482714465835741,0.850730236687701,0.846880447314416,0.8398860729354555
0.22957869489124622,0.4557889892246187,0.43423258490859235,0.4980996453985471,0.4393776139274495,0.45187014663656394,0.44835239985945974,0.7478972323060753,0.8288333785380481,0.799241888523562,0.750387101495851,0.7445989243376092,0.8054610342450581,0.8308658868449752,0.8151265646931057,0.8336178142321756,0.8286117849914374,0.8183713921573306,0.8237524649997423,0.8223010723289716
0.15985198433253126,0.45631442428462365,0.4746458889583559,0.46566476775863685,0.4293771873192931,0.5194438248092927,0.4473910572401819,0.7332014895146499,0.7875420013333978,0.7907675546453496,0.7286915343225486,0.7391982397105961,0.8154003230908825,0.8355117912485156,0.8161552633347853,0.8309885429249338,0.8216684830292452,0.8270367467350341,0.8261390260402364,0.8188071764728746
0.43960305973707814,0.5953636707970388,0.4175693544397814,0.5433242907887532,0.5515122302411263,0.5748945444408128,0.5939192377615226,0.7446563599008814,0.8325311566914516,0.8315342178989404,0.6853273678211138,0.6869412079639317,0.7572298957666489,0.8044470200388899,0.8262285899210011,0.8041869413637766,0.8180068607969305,0.834067134233948,0.8175302383817243,0.8286825554631212
0.08014131282169432,0.7130409140344285,0.6102119035518969,0.5963621148983194,0.7008407921710043,0.6767321901265099,0.7205459276329557,0.7669941504752289,0.8143484479863918,0.8073139366549408,0.7323750523817498,0.7269606771505448,0.7955180543576703,0.8267497987978866,0.8425300806354976,0.8347607777433572,0.8348644736054122,0.8425474941843532,0.8459275285353026,0.8370656332686177
